n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
339;58788;29225;58874;39282;11000;3555;8048;5699;19115;11399;15569;10145
340;57533;28597;57623;38903;11037;3567;8080;5734;19196;11447;15596;10157
341;55706;27683;55795;37730;11074;3579;8112;5724;19288;11500;15499;10090
342;61361;30510;61452;40349;11111;3591;8144;5768;19166;11429;15467;10076
343;61162;30410;61245;39956;11148;3603;8176;5789;19128;11406;15739;10243
344;60327;29992;60401;39514;11185;3615;8208;5799;19422;11574;15661;10195
345;61782;30719;61853;39828;11222;3627;8240;5822;19351;11539;15741;10260
346;62889;31272;62971;40999;11259;3639;8272;5846;19496;11627;15867;10341
347;61792;30723;61879;41560;11296;3651;8304;5869;19803;11805;15931;10384
348;63347;31500;63431;42866;11333;3663;8336;5890;19921;11881;15846;10332
349;60718;30185;60815;41136;11370;3675;8368;5923;19893;11859;16024;10447
350;59915;29783;60004;40413;11407;3687;8400;5949;19856;11849;15813;10296
351;58322;28986;58403;39820;11444;3699;8432;5951;19775;11801;16115;10499
352;55681;27665;55768;38788;11481;3711;8464;5963;20007;11934;16142;10517
353;59876;29762;59969;40452;11518;3723;8496;6004;19885;11854;16104;10491
354;60369;30008;60459;39677;11555;3735;8528;6035;20053;11962;16150;10531
355;60684;30165;60774;39242;11592;3747;8560;6059;20117;11999;16235;10580
356;64265;31955;64354;41419;11629;3759;8592;6070;20172;12042;16313;10622
357;65290;32467;65380;42410;11666;3771;8624;6108;20204;12059;16442;10721
358;66273;32958;66358;43528;11703;3783;8656;6132;20268;12087;16502;10751
359;63916;31779;63999;42834;11740;3795;8688;6151;20353;12136;16746;10908
360;66377;33009;66469;43452;11777;3807;8720;6153;20499;12231;16556;10778
361;68178;33909;68282;44620;11814;3819;8752;6180;20515;12232;16722;10896
362;69259;34449;69362;45630;11851;3831;8784;6211;20485;12211;16653;10860
363;70320;34979;70414;46034;11888;3843;8816;6239;20614;12301;16541;10790
364;69683;34660;69769;45845;11925;3855;8848;6234;20721;12366;16797;10959
365;68766;34201;68859;44944;11962;3867;8880;6269;20803;12406;16862;10985
366;68991;34313;69081;45526;11999;3879;8912;6289;20960;12494;16834;10972
367;69846;34740;69935;45944;12036;3891;8944;6315;20892;12465;16775;10928
368;67367;33500;67452;44852;12073;3903;8976;6358;21166;12619;16866;10974
369;72040;35836;72129;47324;12110;3915;9008;6374;20987;12506;16991;11066
370;69869;34750;69961;46221;12147;3927;9040;6390;21270;12675;17022;11091
371;70076;34853;70167;46740;12184;3939;9072;6397;21179;12626;17081;11132
372;70683;35156;70774;47126;12221;3951;9104;6428;21261;12672;17251;11242
