n;b1_a;b1_c;b2_a;b2_c
804;1856;532;1822;2111;
805;1878;543;1790;2093;
806;1888;554;1791;2097;
807;1866;536;1815;2112;
808;1919;560;1815;2112;
809;1961;587;1869;2140;
810;1878;542;1835;2128;
811;1874;538;1876;2148;
812;1906;558;1851;2138;
813;1905;554;1837;2129;
814;1891;548;1836;2134;
815;1944;579;1879;2155;
816;1895;548;1857;2147;
817;1911;560;1873;2156;
818;1884;538;1888;2162;
819;1817;499;1884;2166;
820;1887;535;1863;2149;
821;1875;536;1877;2164;
822;1941;564;1849;2149;
823;1896;544;1899;2178;
824;1937;567;1884;2166;
825;1888;532;1857;2156;
826;1896;545;1923;2190;
827;1904;544;1842;2155;
828;1929;561;1900;2185;
829;1936;562;1885;2177;
830;1891;537;1880;2180;
831;1925;552;1928;2205;
832;1923;553;1904;2192;
833;1953;570;1922;2200;
834;1913;544;1919;2202;
835;1931;554;1923;2207;
836;1953;569;1903;2198;
837;1933;560;1924;2207;
838;1960;568;1910;2204;
839;1920;545;1949;2221;
840;1927;545;1843;2173;
841;1979;573;1882;2196;
842;1956;560;1917;2213;
843;1965;569;1893;2203;
844;1970;572;1942;2229;
845;1939;553;1935;2229;
846;2008;592;1919;2221;
847;1961;568;1904;2215;
848;1987;573;1960;2245;
849;1988;574;1912;2222;
850;1951;557;1951;2243;
851;1948;553;1925;2231;
852;2004;586;1919;2232;
853;1956;559;1950;2247;
854;1927;542;1956;2251;
855;1973;566;1956;2255;
856;2023;599;1952;2253;
857;2000;580;1949;2254;
858;1983;569;1972;2265;
859;2001;574;1951;2258;
860;1992;570;1987;2277;
861;1971;565;1956;2264;
862;2031;591;1974;2273;
863;2014;584;2005;2290;
864;1998;570;1974;2271;
865;1959;556;1939;2258;
866;1997;573;1971;2277;
867;1995;576;1934;2261;
868;1967;554;1922;2256;
869;1989;566;1945;2267;
870;1989;568;2019;2308;
871;2022;577;1941;2267;
872;1992;564;1973;2287;
873;2026;580;1968;2283;
874;2036;589;1992;2299;
875;1980;562;1992;2301;
876;2045;597;2030;2321;
877;2038;588;2009;2311;
878;2031;584;2022;2318;
879;2048;593;2040;2329;
880;1966;548;1995;2310;
881;2018;574;2006;2316;
882;2035;583;1995;2313;
883;2068;599;2005;2322;
884;2036;583;2039;2333;
885;1994;560;2047;2342;
886;2017;569;2017;2329;
887;2035;582;2016;2329;
888;2036;578;1998;2323;
889;2018;567;2019;2333;
890;2020;573;1988;2319;
891;2078;603;1980;2319;
892;2048;581;2071;2363;
893;2066;597;1981;2323;
894;2093;608;2050;2358;
895;2036;577;2051;2362;
896;2055;586;2059;2364;
897;2077;598;2036;2356;
898;2094;602;2110;2392;
899;2143;626;2081;2381;
900;2067;593;2012;2349;
901;2099;607;2083;2385;
902;2021;560;2053;2372;
903;2109;610;2064;2379;
904;2087;599;2080;2388;
905;2111;606;2090;2397;
906;2104;604;2054;2378;
907;2077;589;2076;2390;
908;2061;582;2041;2371;
909;2065;580;2027;2369;
910;2048;569;2074;2395;
911;2091;597;2106;2412;
912;2066;580;2103;2412;
913;2086;589;2055;2390;
914;2096;596;2107;2414;
915;2089;593;2074;2399;
916;2071;586;2088;2409;
917;2117;608;2093;2414;
918;2101;593;2071;2405;
919;2105;596;2092;2416;
920;2098;595;2114;2428;
921;2123;607;2092;2418;
922;2103;594;2062;2408;
923;2098;592;2081;2415;
924;2069;577;2063;2411;
925;2139;610;2081;2422;
926;2090;583;2085;2423;
927;2116;599;2126;2446;
928;2093;587;2117;2444;
929;2149;617;2120;2447;
930;2118;598;2139;2456;
931;2137;606;2131;2453;
932;2128;603;2143;2461;
933;2157;617;2140;2463;
934;2145;608;2120;2455;
935;2075;572;2087;2439;
936;2156;611;2127;2460;
937;2207;639;2139;2468;
938;2159;618;2116;2455;
939;2132;601;2151;2477;
940;2201;637;2113;2458;
941;2148;606;2157;2482;
942;2117;592;2122;2466;
943;2142;604;2162;2488;
944;2121;591;2169;2490;
945;2183;619;2117;2469;
946;2161;609;2134;2480;
947;2161;615;2209;2516;
948;2112;586;2164;2497;
949;2107;581;2165;2500;
950;2165;613;2183;2507;
951;2216;640;2113;2475;
952;2152;602;2152;2495;
953;2204;630;2196;2519;
954;2160;608;2199;2522;
955;2170;613;2169;2509;
956;2207;629;2134;2495;
957;2166;606;2211;2532;
958;2164;604;2134;2497;
959;2194;618;2165;2514;
960;2195;619;2147;2503;
961;2231;635;2155;2513;
962;2159;599;2172;2524;
963;2207;623;2230;2551;
964;2193;615;2272;2575;
965;2145;594;2196;2539;
966;2211;625;2192;2538;
967;2175;607;2263;2573;
968;2272;655;2216;2551;
969;2220;627;2194;2541;
970;2279;657;2191;2544;
971;2251;644;2224;2561;
972;2240;635;2168;2535;
973;2221;624;2185;2542;
974;2219;625;2217;2563;
975;2264;652;2167;2537;
976;2216;622;2200;2558;
977;2225;624;2229;2571;
978;2228;626;2302;2607;
979;2194;608;2218;2570;
980;2247;640;2233;2575;
981;2187;605;2254;2586;
982;2260;642;2219;2577;
983;2230;625;2333;2634;
984;2222;621;2284;2609;
985;2237;629;2256;2597;
986;2269;644;2253;2596;
987;2200;608;2242;2595;
988;2256;634;2249;2599;
989;2292;652;2234;2593;
990;2250;630;2258;2604;
991;2297;656;2217;2588;
992;2272;640;2256;2610;
993;2235;621;2266;2616;
994;2333;671;2277;2623;
995;2288;648;2269;2618;
996;2286;650;2280;2627;
997;2230;617;2230;2603;
998;2260;631;2263;2622;
999;2211;606;2295;2635;
1000;2272;638;2251;2618;
1001;2247;623;2316;2649;
1002;2274;637;2264;2627;
1003;2263;630;2308;2648;
1004;2258;627;2245;2623;
1005;2319;657;2289;2644;
1006;2319;659;2261;2633;
1007;2257;629;2308;2657;
1008;2320;656;2284;2645;
