n;q1_a;q1_c;q2_a;q2_c
821;19608;8558;16755;16347;
822;19594;8158;16898;16574;
823;22531;8979;16744;17278;
824;20875;9028;15581;15677;
825;19488;8622;16956;16803;
826;19608;8218;15435;15583;
827;19019;8592;15535;16489;
828;18769;8349;15884;15208;
829;20630;9935;16348;17234;
830;21551;8660;16631;16855;
831;22414;8954;16015;16301;
832;19062;8758;16292;16697;
833;18836;8804;16623;16006;
834;19608;8693;15782;15772;
835;23279;8859;16929;16959;
836;23340;8816;17002;15695;
837;22534;9303;16227;17670;
838;22682;9524;15943;16454;
839;20224;10305;16636;16847;
840;21542;8574;17463;16672;
841;21037;8845;15866;15787;
842;19364;10015;15541;16560;
843;20301;9377;16011;16596;
844;20798;8737;17159;16749;
845;20918;8357;17312;16905;
846;20978;8505;16446;16859;
847;18510;8900;17130;17128;
848;19510;8396;15898;16379;
849;20145;9102;15437;15899;
850;20691;9596;14904;17282;
851;21834;9233;15832;17157;
852;21096;8762;16265;15807;
853;19141;8390;15171;15446;
854;21394;8767;17419;16813;
855;21761;9737;17933;16488;
856;22045;10170;15807;16736;
857;24032;8931;15995;16313;
858;20184;8792;17869;16895;
859;21446;9439;17533;16691;
860;20617;8742;15685;16767;
861;22033;8924;18190;16893;
862;22145;8558;15244;16464;
863;19767;8507;17251;16970;
864;22632;9562;17587;17550;
865;19067;9189;17146;17870;
866;21058;9689;15733;17047;
867;23959;10051;17394;17316;
868;26129;10506;18759;17411;
869;20934;9400;17745;18143;
870;18592;9073;16903;16469;
871;21087;8530;17491;16430;
872;22664;9267;16968;16574;
873;20303;8866;15961;16514;
874;18675;9738;17079;16617;
875;25543;9614;18680;17903;
876;20275;9611;15755;17071;
877;25892;10098;16803;18149;
878;23454;9364;20743;18649;
879;24500;9458;16502;17379;
880;21585;9029;17311;17371;
881;22923;9102;17899;17211;
882;28088;10113;20666;19229;
883;20361;9201;16015;17517;
884;21214;9088;16570;17044;
885;22835;9519;20417;20218;
886;20468;9625;17603;16420;
887;21173;9086;17873;18050;
888;20379;10086;17876;18462;
889;23224;9468;17939;18247;
890;21953;9983;16437;16951;
891;21716;9157;16300;17508;
892;21270;8821;18115;17737;
893;22370;9364;19135;17777;
894;21336;9416;19546;17437;
895;20897;9256;17546;17443;
896;20648;9821;18519;19505;
897;25314;9936;17788;18117;
898;21493;9208;17961;18201;
899;23070;9290;19188;17884;
900;20238;9273;17808;17730;
901;25763;10472;19363;18781;
902;20315;10285;16740;17839;
903;26579;10240;19042;18888;
904;23590;9374;18727;17517;
905;23430;9583;17192;17633;
906;22574;10148;19327;18884;
907;22660;9993;19859;18031;
908;25088;9805;16808;18187;
909;25910;10248;19651;18482;
910;28109;10149;19408;20028;
911;22207;9378;17652;18785;
912;24824;10654;16794;17966;
913;22774;9872;17391;17744;
914;22813;9535;19255;19955;
915;22445;9633;19259;17519;
916;25510;9601;17935;18279;
917;23877;9417;17641;17268;
918;24247;9884;20570;18685;
919;29454;11229;19916;18417;
920;24236;9570;20450;19236;
921;22391;10356;21069;19499;
922;23565;10266;18926;18984;
923;25942;9876;17804;17500;
924;21043;9864;19653;18518;
925;24576;10440;18102;17591;
926;23708;10280;17904;18405;
927;24301;9729;19638;18746;
928;23797;10574;20730;19481;
929;23266;9447;19739;17945;
930;21059;11104;20635;21052;
931;22858;9446;18227;17828;
932;23770;9789;18572;18679;
933;22696;9695;17966;18408;
934;25028;9991;18106;20044;
935;24736;9818;17743;17989;
936;21602;10746;19489;21059;
937;25427;10328;18601;18765;
938;24240;10340;19380;18067;
939;23231;10189;18736;18209;
940;22927;10666;23947;22368;
941;24858;9879;18791;19861;
942;22340;9523;19457;18108;
943;23622;9745;18511;18705;
944;24091;9778;17629;18038;
945;22809;9980;17833;18787;
946;29002;10878;21040;19860;
947;23319;10421;19583;18997;
948;26134;9978;17872;19081;
949;23672;9773;19147;19035;
950;26736;10339;18675;18695;
951;24469;10100;20131;19838;
