Sequence Size,Iterative Time (ms),Recursive Time (ms)
1243,2271,2212
1244,2103,2266
1245,2108,2433
1246,2281,2252
1247,2266,2249
1248,2111,2239
1249,2119,2190
1250,2147,2206
1251,2283,2266
1252,2130,2190
1253,2400,2259
1254,2184,2220
1255,2130,2220
1256,2288,2338
1257,2591,2292
1258,2120,2234
1259,2343,2343
1260,2235,2370
1261,2438,2333
1262,2344,2343
1263,2362,2234
1264,2240,2644
1265,2338,2331
1266,2201,2228
1267,2192,2248
1268,2166,2218
1269,2219,2260
1270,2353,2336
1271,2439,2328
1272,2165,2670
1273,2217,2271
1274,2196,2812
1275,2511,2617
1276,2496,2525
1277,2374,2310
1278,2284,2630
1279,2235,2380
1280,2559,2776
1281,2265,2329
1282,2407,2403
1283,2309,2387
1284,3832,2621
1285,2314,2408
1286,2268,2344
1287,2268,2697
1288,2243,2322
1289,2468,2434
1290,2433,2419
1291,2751,3478
1292,2710,4605
1293,4052,2706
1294,2650,2550
1295,2620,3150
1296,2439,2673
1297,2431,2455
1298,2652,2578
1299,2717,2337
1300,2390,2397
1301,2423,4714
1302,2584,2699
1303,2632,2589
1304,2624,2651
1305,2442,2910
1306,2671,2619
1307,2607,2512
1308,2659,2857
1309,2465,2598
1310,2620,2778
1311,4201,3131
1312,2649,2942
1313,2318,2351
1314,2446,2421
1315,2471,2423
1316,2473,2424
1317,2301,2387
1318,2343,2926
1319,2757,3322
1320,3610,2855
1321,2958,2676
1322,2791,2731
1323,2537,2687
1324,3107,2599
1325,2737,2920
1326,2766,2708
1327,3052,2703
1328,2671,2750
1329,2546,2653
1330,3129,2690
1331,2563,2654
1332,2576,2696
1333,2596,3154
1334,2856,2811
1335,2543,2688
1336,2550,2655
1337,2981,2699
1338,2586,2816
1339,2854,2773
1340,2795,3033
1341,2561,2704
1342,2608,2692
1343,3456,3481
1344,2771,2817
1345,2586,2683
1346,3325,2757
1347,2631,3162
1348,2888,2796
1349,2625,2789
1350,2713,2741
1351,2589,2763
1352,2848,3010
1353,2872,2948
1354,3044,2780
1355,2692,2720
1356,2903,2874
1357,2771,2790
1358,2660,2740
1359,2706,2872
1360,2759,2944
1361,2853,2888
1362,2942,3659
1363,2702,2810
1364,2647,3136
1365,2807,2726
1366,2702,2674
1367,2698,2705
1368,2491,2589
1369,2703,2624
